DisNo.,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,ISO,Country,Subregion,Region,Location,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Affected,"Total Damage, Adjusted ('000 US$)",Source:,"EM-DAT, CRED / UCLouvain, Brussels, Belgium"
2000-0033-CHN,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,CHN,China,Eastern Asia,Asia,"Yongren Xian, Yao'an Xian, Nanhua Xian, Dayao Xian areas (Chuxiong Yi district, Yunnan Sheng province), Xiangyun Xian area (Dali Bai district, Yunnan Sheng province) ",Yes,No,No,765.0,5.9,Moment Magnitude,25.607,101.063,,2000.0,1.0,14.0,2000.0,1.0,14.0,1855007.0,130056.0,,
2000-0036-CHN,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,CHN,China,Eastern Asia,Asia,"Mile Xian area (Honghe Hani and Yi district, Yunnan Sheng province), Qiubei Xian area (Wenshan Zhuang and Miao district, Yunnan Sheng province)",No,No,No,,4.9,Moment Magnitude,24.263,103.797,,2000.0,1.0,26.0,2000.0,1.0,26.0,10302.0,855.0,,
2000-0076-ISL,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,ISL,Iceland,Northern Europe,Europe,"Grimsnes, Selfoss, Eyrarbakki, Stokkseyri city (Arnes provinces)",No,No,No,,6.5,Moment Magnitude,63.98,-20.758,,2000.0,6.0,21.0,2000.0,6.0,21.0,108.0,21234.0,,
2000-0089-PHL,nat-geo-vol-ash,Natural,Geophysical,Volcanic activity,Ash fall,PHL,Philippines,South-eastern Asia,Asia,"Legazpi City area (Albay district, Region V (Bicol region) province)",Yes,No,No,647.0,,,13.257,123.685,,2000.0,2.0,24.0,2000.0,3.0,9.0,68426.0,3918.0,,
2000-0230-IDN,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,IDN,Indonesia,South-eastern Asia,Asia,"Totikum, Tinangkung, Liang villages (Banggai Kepulauan district, Sulawesi Tengah province), Banggai district (Sulawesi Tengah province)",No,No,No,215.0,7.6,Moment Magnitude,-1.105,123.573,,2000.0,5.0,4.0,2000.0,5.0,4.0,52770.0,53084.0,,
2000-0293-IDN,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,IDN,Indonesia,South-eastern Asia,Asia,"Enggano island (Bengkulu Utara district, Bengkulu province)",Yes,No,No,5031.0,6.7,Moment Magnitude,-4.646,102.102,,2000.0,6.0,4.0,2000.0,6.0,4.0,204714.0,72548.0,,
2000-0335-ISL,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,ISL,Iceland,Northern Europe,Europe,Hella city (Rangarvalla province),No,No,No,,6.5,Moment Magnitude,63.966,-20.487,,2000.0,6.0,17.0,2000.0,6.0,17.0,91.0,21234.0,,
2000-0449-IDN,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,IDN,Indonesia,South-eastern Asia,Asia,"Ciranggon village (Karawang district, Jawa Barat province)",No,No,No,,5.4,Moment Magnitude,-6.675,106.845,,2000.0,7.0,12.0,2000.0,7.0,12.0,4124.0,3539.0,,
2000-0480-RUS,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,RUS,Russian Federation,Eastern Europe,Europe,Ougklegorsk region (Sakhalinskaya Oblast Province),No,No,No,,6.8,Moment Magnitude,48.786,142.246,,2000.0,8.0,4.0,2000.0,8.0,4.0,19108.0,1628.0,,
2000-0527-CHN,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,CHN,China,Eastern Asia,Asia,"Wuding Xian area (Chuxiong Yi district, Yunnan Sheng province)",No,No,No,,4.9,Moment Magnitude,25.826,102.194,,2000.0,8.0,21.0,2000.0,8.0,21.0,177611.0,76087.0,,
